IDEvento;DSEvento
433;CONC LAV/ÁREA PROTEÇÃO DE FONTE SOLICITAÇÃO PROTOC
434;CONC LAV/ÁREA SERVIDÃO NÃO CONCEDIDA PUBL
435;CONC LAV/ÁREA SERVIDÃO CONCEDIDA PUBL
436;CONC LAV/DOCUMENTO DIVERSO PROTOC
437;CONC LAV/SUSPENSÃO TRABALHOS LAVRA AUTORIZADA PUBL
438;CONC LAV/SUSPENSÃO TRABALHOS LAVRA NEGADA PUBL
439;CONC LAV/SUSPENSÃO LAVRA AUTORIZADA 6 MESES PUBL
440;CONC LAV/RÓTULO ÁGUA MINERAL APROVADO PUBL
441;CONC LAV/SUSPENSÃO LAVRA AUTORIZADA 1 ANO PUBL
442;CONC LAV/INTERDIÇÃO DA LAVRA APLICADA
443;CONC LAV/SUSPENSÃO LAVRA AUTORIZADA 2 ANOS PUBL
